Months,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
5.223819302,-0.0999,16.8617,0.09081,14.23481367,15.01933533,15.35384574,15.86286742,16.8617,17.93014461,18.53403106,18.95569239,20.03164996,22.4138131
5.256673511,-0.1018,16.8648,0.09079,14.23834282,15.02266745,15.35711145,15.86605258,16.8648,17.93326206,18.53720854,18.95893341,20.035134,22.41825008
5.289527721,-0.1037,16.8677,0.09077,14.24170299,15.02582142,15.36019506,15.86904961,16.8677,17.93616672,18.54016601,18.96194936,20.03838012,22.42242103
5.32238193,-0.1056,16.8705,0.09075,14.24497861,15.0288863,15.36318763,15.87195261,16.8705,17.93896494,18.54301338,18.96485268,20.04150712,22.42645888
5.355236139,-0.1075,16.8732,0.09073,14.24816964,15.03186208,15.36608916,15.87476156,16.8732,17.94165673,18.54575067,18.96764336,20.04451501,22.43036362
5.388090349,-0.1094,16.8759,0.09071,14.25136053,15.03483785,15.3689907,15.87757055,16.8759,17.94434841,18.54848778,18.97043382,20.04752259,22.43426818
5.420944559,-0.1113,16.8784,0.09069,14.25438237,15.03763541,15.3717101,15.88019139,16.8784,17.94682734,18.5510049,18.97299924,20.05029226,22.43790667
5.453798768,-0.1132,16.8808,0.09067,14.25731958,15.04034385,15.37433843,15.88271818,16.8808,17.94919983,18.55341195,18.97545203,20.05294283,22.44141204
5.486652978,-0.115,16.8832,0.09065,14.26023641,15.04304227,15.37696007,15.88524204,16.8832,17.95156884,18.55581053,18.97789158,20.05556316,22.44482523
5.519507187,-0.1169,16.8854,0.09063,14.26300434,15.04557244,15.37940624,15.88758069,16.8854,17.95372849,18.55799744,18.98011914,20.05797553,22.44806428
5.552361396,-0.1187,16.8876,0.09061,14.2657519,15.04809259,15.38184571,15.88991642,16.8876,17.95588466,18.56017588,18.98233346,20.06035766,22.45121107
5.585215606,-0.1206,16.8897,0.09059,14.26843496,15.05053354,15.38420078,15.89216102,16.8897,17.95793781,18.56225257,18.98444821,20.06265062,22.45431673
