Month,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
166,1,162.0505,0.04725,147.6494775,152.2378056,154.1146476,156.8860088,162.0505,167.2149912,169.9863524,171.8631944,176.4515225,185.7120569
167,1,162.6207,0.0472,148.1842981,152.7838984,154.6653513,157.443521,162.6207,167.797879,170.5760487,172.4575016,177.0571019,186.340387
168,1,163.1816,0.04714,148.7138197,153.3234176,155.2089599,157.9931681,163.1816,168.3700319,171.1542401,173.0397824,177.6493803,186.9528431
169,1,163.7321,0.04707,149.2370683,153.8553488,155.7444427,158.5338952,163.7321,168.9303048,171.7197573,173.6088512,178.2271317,187.5481185
170,1,164.2717,0.04701,149.7474357,154.37503,156.2679337,159.0630118,164.2717,169.4803882,172.2754663,174.16837,178.7959643,188.135749
171,1,164.7994,0.04694,150.2501753,154.8857223,156.781879,159.5817605,164.7994,170.0170395,172.816921,174.7130777,179.3486247,188.7044601
172,1,165.3145,0.04687,150.7415645,155.384666,157.2839129,160.0883574,165.3145,170.5406426,173.3450871,175.244334,179.8874355,189.258518
173,1,165.8165,0.04679,151.2242612,155.8735129,157.7752755,160.5834348,165.8165,171.0495652,173.8577245,175.7594871,180.4087388,189.7922343
174,1,166.305,0.04671,151.6947949,156.3497709,158.253875,161.0654918,166.305,171.5445082,174.356125,176.2602291,180.9152051,190.3102538
175,1,166.7799,0.04663,152.1530683,156.8133417,158.7196127,161.5344291,166.7799,172.0253709,174.8401873,176.7464583,181.4067317,190.8124721
176,1,167.2415,0.04655,152.5993491,157.2645034,159.1727709,161.9905354,167.2415,172.4924646,175.3102291,177.2184966,181.8836509,191.2992423
177,1,167.6899,0.04646,153.0368763,157.7054948,159.6151793,162.4350362,167.6899,172.9447638,175.7646207,177.6743052,182.3429237,191.7655067
178,1,168.1255,0.04637,153.4628717,158.1345504,160.0454866,162.8671918,168.1255,173.3838082,176.2055134,178.1164496,182.7881283,192.2168875
179,1,168.5482,0.04628,153.8772374,158.5515715,160.4635939,163.2869029,168.5482,173.8094971,176.6328061,178.5448285,183.2191626,192.6532811
180,1,168.958,0.04619,154.2799669,158.9565537,160.8694976,163.6941673,168.958,174.2218327,177.0465024,178.9594463,183.6360331,193.0746983
181,1,169.3549,0.04609,154.6742388,159.351663,161.2649494,164.0901248,169.3549,174.6196752,177.4448506,179.358137,184.0355612,193.4759164
182,1,169.7389,0.04599,155.0568759,159.7347343,161.6481983,164.4736361,169.7389,175.0041639,177.8296017,179.7430657,184.4209241,193.8621558
183,1,170.1099,0.04589,155.4277794,160.1056685,162.0191451,164.8446015,170.1099,175.3751985,178.2006549,180.1141315,184.7920206,194.2333143
184,1,170.468,0.04579,155.7870334,160.4645549,162.3778811,165.2031153,170.468,175.7328847,178.5581189,180.4714451,185.1489666,194.5895182
185,1,170.8136,0.04569,156.1349963,160.8117649,162.7247832,165.5495627,170.8136,176.0776373,178.9024168,180.8154351,185.4922037,194.9312358
186,1,171.1468,0.04559,156.4717525,161.147388,163.0599429,165.884038,171.1468,176.409562,179.2336571,181.146212,185.8218475,195.2585929
187,1,171.468,0.04548,156.8008856,161.4739936,163.3855145,166.208083,171.468,176.727917,179.5504855,181.4620064,186.1351144,195.5667583
188,1,171.7773,0.04538,157.1160363,161.7872802,163.6980386,166.5194812,171.7773,177.0351188,179.8565614,181.7673198,186.4385637,195.8664454
